"variable" "sex" "age_group" "ht.code" "count_n_" "year" "n_denom" "rate_strat" "aggr_level"
"prevalence" "m" "14-15" 4 555 2005 67541 821.723101523519 "age_group"
"prevalence" "m" "16-17" 1 246 2005 63050 390.166534496431 "age_group"
"prevalence" "m" "16-17" 2 127 2005 63050 201.427438540841 "age_group"
"prevalence" "m" "16-17" 3 87 2005 63050 137.985725614592 "age_group"
"prevalence" "m" "16-17" 4 460 2005 63050 729.579698651864 "age_group"
"prevalence" "m" "18+" 1 1567 2005 2057104 76.1750499731662 "age_group"
"prevalence" "m" "18+" 2 1333 2005 2057104 64.7998351079965 "age_group"
"prevalence" "m" "18+" 3 791 2005 2057104 38.4521152066206 "age_group"
"prevalence" "m" "18+" 4 3691 2005 2057104 179.427000287783 "age_group"
"incidence" "f" "0-1" 1 261 2005 31705 823.2140041003 "age_group"
"incidence" "f" "0-1" 2 78 2005 31705 246.017978236871 "age_group"
"incidence" "f" "0-1" 3 57 2005 31705 179.78236871156 "age_group"
"incidence" "f" "0-1" 4 396 2005 31705 1249.01435104873 "age_group"
"incidence" "f" "2-3" 1 10 2005 63614 15.7198101046939 "age_group"
"incidence" "f" "2-3" 2 11 2005 63614 17.2917911151633 "age_group"
"incidence" "f" "2-3" 3 NA 2005 63614 NA "age_group"
"incidence" "f" "2-3" 4 26 2005 63614 40.8715062722042 "age_group"
"incidence" "f" "4-5" 1 10 2005 65864 15.1828009231143 "age_group"
"incidence" "f" "4-5" 2 NA 2005 65864 NA "age_group"
"incidence" "f" "4-5" 3 NA 2005 65864 NA "age_group"
"incidence" "f" "4-5" 4 16 2005 65864 24.2924814769829 "age_group"
"incidence" "f" "6-7" 1 NA 2005 66182 NA "age_group"
"incidence" "f" "6-7" 2 10 2005 66182 15.109848599317 "age_group"
"incidence" "f" "6-7" 3 NA 2005 66182 NA "age_group"
"incidence" "f" "6-7" 4 19 2005 66182 28.7087123387024 "age_group"
"incidence" "f" "8-9" 1 NA 2005 68520 NA "age_group"
"incidence" "f" "8-9" 2 NA 2005 68520 NA "age_group"
"incidence" "f" "8-9" 3 NA 2005 68520 NA "age_group"
"incidence" "f" "8-9" 4 11 2005 68520 16.0537069468768 "age_group"
"incidence" "f" "10-11" 1 NA 2005 69106 NA "age_group"
"incidence" "f" "10-11" 2 NA 2005 69106 NA "age_group"
"incidence" "f" "10-11" 3 NA 2005 69106 NA "age_group"
"incidence" "f" "10-11" 4 NA 2005 69106 NA "age_group"
"incidence" "f" "12-13" 1 NA 2005 66861 NA "age_group"
"incidence" "f" "12-13" 2 NA 2005 66861 NA "age_group"
"incidence" "f" "12-13" 3 NA 2005 66861 NA "age_group"
"incidence" "f" "12-13" 4 13 2005 66861 19.4433227142879 "age_group"
"incidence" "f" "14-15" 1 NA 2005 64026 NA "age_group"
"incidence" "f" "14-15" 2 NA 2005 64026 NA "age_group"
"incidence" "f" "14-15" 3 NA 2005 64026 NA "age_group"
"incidence" "f" "14-15" 4 12 2005 64026 18.7423859057258 "age_group"
"incidence" "f" "16-17" 1 NA 2005 59427 NA "age_group"
"incidence" "f" "16-17" 2 NA 2005 59427 NA "age_group"
"incidence" "f" "16-17" 3 NA 2005 59427 NA "age_group"
"incidence" "f" "16-17" 4 NA 2005 59427 NA "age_group"
"incidence" "f" "18+" 1 NA 2005 2144929 NA "age_group"
"incidence" "f" "18+" 2 13 2005 2144929 0.606080667471977 "age_group"
"incidence" "f" "18+" 3 NA 2005 2144929 NA "age_group"
"incidence" "f" "18+" 4 26 2005 2144929 1.21216133494395 "age_group"
"incidence" "m" "0-1" 1 226 2005 33232 680.067404910929 "age_group"
"incidence" "m" "0-1" 2 83 2005 33232 249.759268175253 "age_group"
"incidence" "m" "0-1" 3 63 2005 33232 189.576311988445 "age_group"
"incidence" "m" "0-1" 4 372 2005 33232 1119.40298507463 "age_group"
"incidence" "m" "2-3" 1 NA 2005 66719 NA "age_group"
"incidence" "m" "2-3" 2 18 2005 66719 26.9788216250244 "age_group"
"incidence" "m" "2-3" 3 NA 2005 66719 NA "age_group"
"incidence" "m" "2-3" 4 31 2005 66719 46.4635261319864 "age_group"
"incidence" "m" "4-5" 1 NA 2005 68809 NA "age_group"
"incidence" "m" "4-5" 2 12 2005 68809 17.4395791248238 "age_group"
"incidence" "m" "4-5" 3 NA 2005 68809 NA "age_group"
"incidence" "m" "4-5" 4 17 2005 68809 24.7060704268337 "age_group"
"incidence" "m" "6-7" 1 NA 2005 69732 NA "age_group"
"incidence" "m" "6-7" 2 11 2005 69732 15.7746802042104 "age_group"
"incidence" "m" "6-7" 3 NA 2005 69732 NA "age_group"
"incidence" "m" "6-7" 4 22 2005 69732 31.5493604084208 "age_group"
"incidence" "m" "8-9" 1 NA 2005 72291 NA "age_group"
"incidence" "m" "8-9" 2 NA 2005 72291 NA "age_group"
"incidence" "m" "8-9" 3 NA 2005 72291 NA "age_group"
"incidence" "m" "8-9" 4 11 2005 72291 15.2162786515611 "age_group"
"incidence" "m" "10-11" 1 NA 2005 72541 NA "age_group"
"incidence" "m" "10-11" 2 NA 2005 72541 NA "age_group"
"incidence" "m" "10-11" 3 NA 2005 72541 NA "age_group"
"incidence" "m" "10-11" 4 10 2005 72541 13.7853076191395 "age_group"
"incidence" "m" "12-13" 1 NA 2005 70600 NA "age_group"
"incidence" "m" "12-13" 2 NA 2005 70600 NA "age_group"
"incidence" "m" "12-13" 3 NA 2005 70600 NA "age_group"
"incidence" "m" "12-13" 4 12 2005 70600 16.9971671388102 "age_group"
"incidence" "m" "14-15" 1 NA 2005 67541 NA "age_group"
"incidence" "m" "14-15" 2 NA 2005 67541 NA "age_group"
"incidence" "m" "14-15" 3 NA 2005 67541 NA "age_group"
"incidence" "m" "14-15" 4 NA 2005 67541 NA "age_group"
"incidence" "m" "16-17" 1 NA 2005 63050 NA "age_group"
"incidence" "m" "16-17" 2 NA 2005 63050 NA "age_group"
"incidence" "m" "16-17" 3 NA 2005 63050 NA "age_group"
"incidence" "m" "16-17" 4 NA 2005 63050 NA "age_group"
"incidence" "m" "18+" 1 NA 2005 2057104 NA "age_group"
"incidence" "m" "18+" 2 NA 2005 2057104 NA "age_group"
"incidence" "m" "18+" 3 NA 2005 2057104 NA "age_group"
"incidence" "m" "18+" 4 13 2005 2057104 0.631956381398315 "age_group"
"prevalence" "f" "0-1" 1 239 2006 31708 753.752996089315 "age_group"
"prevalence" "f" "0-1" 2 58 2006 31708 182.919137126277 "age_group"
"prevalence" "f" "0-1" 3 55 2006 31708 173.457802447332 "age_group"
"prevalence" "f" "0-1" 4 352 2006 31708 1110.12993566292 "age_group"
"prevalence" "f" "2-3" 1 437 2006 63229 691.138559838049 "age_group"
"prevalence" "f" "2-3" 2 144 2006 63229 227.743598665169 "age_group"
"prevalence" "f" "2-3" 3 88 2006 63229 139.176643628715 "age_group"
"prevalence" "f" "2-3" 4 669 2006 63229 1058.05880213193 "age_group"
"prevalence" "f" "4-5" 1 453 2006 65226 694.508324901113 "age_group"
"prevalence" "f" "4-5" 2 176 2006 65226 269.831048968203 "age_group"
"prevalence" "f" "4-5" 3 99 2006 65226 151.779965044614 "age_group"
"prevalence" "f" "4-5" 4 728 2006 65226 1116.11933891393 "age_group"
"prevalence" "f" "6-7" 1 430 2006 65454 656.949919027103 "age_group"
"prevalence" "f" "6-7" 2 171 2006 65454 261.252177101476 "age_group"
"prevalence" "f" "6-7" 3 99 2006 65454 151.25126042717 "age_group"
"prevalence" "f" "6-7" 4 700 2006 65454 1069.45335655575 "age_group"
"prevalence" "f" "8-9" 1 429 2006 67113 639.220419292834 "age_group"
"prevalence" "f" "8-9" 2 225 2006 67113 335.255464664074 "age_group"
"prevalence" "f" "8-9" 3 108 2006 67113 160.922623038756 "age_group"
"prevalence" "f" "8-9" 4 762 2006 67113 1135.39850699566 "age_group"
"prevalence" "f" "10-11" 1 413 2006 69959 590.345773953316 "age_group"
"prevalence" "f" "10-11" 2 269 2006 69959 384.510927829157 "age_group"
"prevalence" "f" "10-11" 3 99 2006 69959 141.511456710359 "age_group"
"prevalence" "f" "10-11" 4 781 2006 69959 1116.36815849283 "age_group"
"prevalence" "f" "12-13" 1 414 2006 68065 608.242121501506 "age_group"
"prevalence" "f" "12-13" 2 234 2006 68065 343.789025196503 "age_group"
"prevalence" "f" "12-13" 3 112 2006 68065 164.548593256446 "age_group"
"prevalence" "f" "12-13" 4 760 2006 68065 1116.57973995446 "age_group"
"prevalence" "f" "14-15" 1 319 2006 65307 488.462186289372 "age_group"
"prevalence" "f" "14-15" 2 193 2006 65307 295.52727885219 "age_group"
"prevalence" "f" "14-15" 3 86 2006 65307 131.685730472997 "age_group"
"prevalence" "f" "14-15" 4 598 2006 65307 915.675195614559 "age_group"
"prevalence" "f" "16-17" 1 246 2006 62126 395.969481376557 "age_group"
"prevalence" "f" "16-17" 2 136 2006 62126 218.909957183788 "age_group"
"prevalence" "f" "16-17" 3 68 2006 62126 109.454978591894 "age_group"
"prevalence" "f" "16-17" 4 450 2006 62126 724.334417152239 "age_group"
"prevalence" "f" "18+" 1 2143 2006 2149945 99.676968480589 "age_group"
"prevalence" "f" "18+" 2 1422 2006 2149945 66.1412268685943 "age_group"
"prevalence" "f" "18+" 3 808 2006 2149945 37.5823567579636 "age_group"
"prevalence" "f" "18+" 4 4373 2006 2149945 203.400552107147 "age_group"
"prevalence" "m" "0-1" 1 207 2006 33169 624.07669812174 "age_group"
"prevalence" "m" "0-1" 2 70 2006 33169 211.040429316531 "age_group"
"prevalence" "m" "0-1" 3 48 2006 33169 144.713437245621 "age_group"
"prevalence" "m" "0-1" 4 325 2006 33169 979.830564683892 "age_group"
"prevalence" "m" "2-3" 1 406 2006 66508 610.452877849281 "age_group"
"prevalence" "m" "2-3" 2 172 2006 66508 258.615504901666 "age_group"
"prevalence" "m" "2-3" 3 127 2006 66508 190.954471642509 "age_group"
"prevalence" "m" "2-3" 4 705 2006 66508 1060.02285439346 "age_group"
"prevalence" "m" "4-5" 1 361 2006 68092 530.165070786583 "age_group"
"prevalence" "m" "4-5" 2 198 2006 68092 290.783058215356 "age_group"
"prevalence" "m" "4-5" 3 136 2006 68092 199.729777360042 "age_group"
"prevalence" "m" "4-5" 4 695 2006 68092 1020.67790636198 "age_group"
"prevalence" "m" "6-7" 1 342 2006 68603 498.520472865618 "age_group"
"prevalence" "m" "6-7" 2 243 2006 68603 354.211914930834 "age_group"
"prevalence" "m" "6-7" 3 98 2006 68603 142.850895733423 "age_group"
"prevalence" "m" "6-7" 4 683 2006 68603 995.583283529875 "age_group"
"prevalence" "m" "8-9" 1 421 2006 70724 595.271760647022 "age_group"
"prevalence" "m" "8-9" 2 262 2006 70724 370.454159832589 "age_group"
"prevalence" "m" "8-9" 3 142 2006 70724 200.780498840563 "age_group"
